emiten_code,year,date,eps,per,pbv,bvps,ebitda,roa,roe,fcf,fcf_ps,gdp_forecast,political_stability,inflation_forecast,return
AGRO,2024,Q3,0.56,478.57,1.92,139.72,-32646591000.0,0.11,0.4,-186248198000.0,-7.53,5.0,17.1,2.5,19.469026548672566
AGRO,2024,Q2,0.44,513.64,1.63,138.28,46542689000.0,0.08,0.32,319312588000.0,12.91,5.0,17.1,2.5,-22.602739726027394
AGRO,2024,Q1,0.37,783.78,2.09,138.52,37368362000.0,0.07,0.27,-220673594000.0,-8.92,5.0,17.1,2.5,-5.806451612903226
AGRO,2023,Q4,0.39,794.87,2.24,138.25,774986000.0,0.08,0.28,578458560000.0,23.38,4.9,17.5,3.0,1.9736842105263157
AGRO,2023,Q3,0.22,1381.82,2.21,137.48,24620506000.0,0.05,0.16,-431240192000.0,-17.43,4.9,17.5,3.0,-20.833333333333336
AGRO,2023,Q2,0.2,1920.0,2.78,137.98,122397180000.0,0.04,0.14,-740124274000.0,-29.92,4.9,17.5,3.0,-1.0309278350515463
AGRO,2023,Q1,0.18,2144.44,2.81,137.29,36719940000.0,0.03,0.13,-300925368000.0,-12.16,4.9,17.5,3.0,-3.9603960396039604
AGRO,2022,Q4,-0.85,-475.29,2.95,136.99,22466510000.0,-0.15,-0.62,1097696838000.0,44.37,5.2,15.5,3.0,-26.545454545454543
AGRO,2022,Q3,0.75,733.33,5.22,105.39,9509020000.0,0.13,0.71,-1455129117000.0,-63.97,5.2,15.5,3.0,-21.98581560283688
AGRO,2022,Q2,-1.42,-496.48,6.68,105.47,-12114479000.0,-0.22,-1.35,1786437690000.0,78.54,5.2,15.5,3.0,-43.145161290322584
AGRO,2022,Q1,2.1,590.48,11.44,108.36,130071793000.0,0.36,1.94,-1458884674000.0,-64.14,5.2,15.5,3.0,-31.491712707182316
AGRO,2021,Q4,-53.37,-33.91,16.75,108.05,-1439434502000.0,-7.2,-49.39,-6349951000.0,-0.28,3.7,17.9,3.0,-17.41193648475999
AGRO,2021,Q3,-85.66,-26.15,19.29,116.12,-1887647176000.0,-9.05,-73.76,-815315872000.0,-37.59,3.7,17.9,3.0,14.871558334687377
AGRO,2021,Q2,0.39,4987.18,9.68,200.93,14008476000.0,0.03,0.19,231714388000.0,10.73,3.7,17.9,3.0,90.24480231340678
AGRO,2021,Q1,0.84,1214.29,5.13,198.92,35406396000.0,0.07,0.42,-589040337000.0,-27.6,3.7,17.9,3.0,-0.966779902038233
AGRO,2020,Q4,0.27,3833.33,5.15,200.89,35794937000.0,0.02,0.14,-2077913350000.0,-97.36,-2.2,18.4,3.0,229.6139574246468
AGRO,2020,Q3,0.25,1232.0,1.56,197.62,12598178000.0,0.02,0.13,944337349000.0,44.25,-2.2,18.4,3.0,155.29333554927706
AGRO,2020,Q2,0.15,813.33,0.62,196.03,7538720000.0,0.01,0.08,1204598834000.0,56.44,-2.2,18.4,3.0,33.69625597155871
AGRO,2020,Q1,0.78,125.64,0.51,191.99,24681021000.0,0.06,0.41,679491820000.0,31.84,-2.2,18.4,3.0,-53.53603138550484
AGRO,2019,Q4,1.68,117.86,0.94,209.98,56294651000.0,0.13,0.8,-513085641000.0,-24.04,5.1,17.5,3.5,-10.810313075506443
AGRO,2019,Q3,-2.95,-73.9,1.05,207.99,-82904022000.0,-0.25,-1.42,-937325225000.0,-43.92,5.1,17.5,3.5,-23.973537750708815
AGRO,2019,Q2,-0.04,-7300.0,1.39,210.58,12287548000.0,-0.0,-0.02,2622214960000.0,122.86,5.1,17.5,3.5,-8.751477211025577
AGRO,2019,Q1,3.71,86.25,1.53,209.01,99736782000.0,0.34,1.77,-3811488670000.0,-178.58,5.1,17.5,3.5,3.2278272337619396
AGRO,2018,Q4,1.76,176.14,1.5,207.29,81476864000.0,0.16,0.85,1825153690000.0,85.51,5.3,15.6,3.5,-13.889046618590656
AGRO,2018,Q3,1.57,228.03,1.86,192.07,36934153344.0,0.17,0.82,106129659000.0,4.66,5.3,15.6,3.5,13.924378173820232
AGRO,2018,Q2,3.87,81.14,1.76,178.26,98319379656.0,0.37,2.17,1310002442000.0,73.13,5.3,15.6,3.5,-25.822936660268713
AGRO,2018,Q1,3.44,123.26,2.4,176.65,88928484000.0,0.35,1.95,-557044440000.0,-31.1,5.3,15.6,3.5,-18.85683136705213
AGRO,2017,Q4,2.16,243.06,3.02,173.69,0.0,0.24,1.24,-186317040000.0,-10.4,5.1,17.1,4.0,-14.633295108939533
AGRO,2017,Q3,2.89,212.8,3.58,171.57,0.0,0.37,1.69,-512254224000.0,-28.68,5.1,17.1,4.0,-15.754028814247508
AGRO,2017,Q2,0.78,935.9,6.54,111.68,0.0,0.11,0.7,61334817000.0,3.43,5.1,17.1,4.0,-6.019895260401589
AGRO,2017,Q1,2.37,345.57,6.29,130.2,0.0,0.3,1.82,-180307826000.0,-11.77,5.1,17.1,4.0,116.32130251622455
AGRO,2016,Q4,1.36,281.62,3.03,126.34,0.0,0.18,1.08,-85515425000.0,-5.58,5.1,21.4,4.0,16.265678260581783
AGRO,2016,Q3,3.06,105.56,2.57,125.67,0.0,0.34,2.43,456676968000.0,39.78,5.1,21.4,4.0,9.931967839342239
AGRO,2016,Q2,1.69,174.56,2.41,122.23,0.0,0.21,1.38,327507648000.0,28.53,5.1,21.4,4.0,228.28138062820972
